vehicle_id,model_year,make
0,2022,MITSUBISHI
0,2022,NISSAN
0,2022,POLESTAR
0,2022,PORSCHE
0,2022,RAM
0,2022,ROLLS-ROYCE
0,2022,SUBARU
0,2022,TESLA
0,2022,TOYOTA
0,2022,VOLKSWAGEN
0,2022,VOLVO
0,2023,ACURA
0,2023,ALFA
0,2023,AUDI
0,2023,BENTLEY
0,2023,BMW
0,2023,BRIGHTDROP
0,2023,BUICK
0,2023,CADILLAC
0,2023,CHEVROLET
0,2023,CHRYSLER
0,2023,DODGE
0,2023,FIAT
0,2023,FORD
0,2023,GENESIS
0,2023,GMC
0,2023,HONDA
0,2023,HYUNDAI
0,2023,INFINITI
0,2023,JAGUAR
0,2023,JEEP
0,2023,KIA
0,2023,LAND ROVER
0,2023,LEXUS
0,2023,LINCOLN
0,2023,LUCID
0,2023,MAZDA
0,2023,MERCEDES-BENZ
0,2023,MINI
0,2023,MITSUBISHI
0,2023,NISSAN
0,2023,POLESTAR
0,2023,PORSCHE
0,2023,RAM
0,2023,RIVIAN
0,2023,ROLLS-ROYCE
0,2023,SUBARU
0,2023,TESLA
0,2023,TOYOTA
0,2023,VOLKSWAGEN
0,2023,VOLVO
0,2024,ACURA
0,2024,ALFA
0,2024,AUDI
0,2024,BENTLEY
0,2024,BMW
0,2024,BRIGHTDROP
0,2024,BUICK
0,2024,CADILLAC
0,2024,CHEVROLET
0,2024,CHRYSLER
0,2024,DODGE
0,2024,FIAT
0,2024,FORD
0,2024,GENESIS
0,2024,GMC
0,2024,HONDA
0,2024,HYUNDAI
0,2024,INFINITI
0,2024,JAGUAR
0,2024,JEEP
0,2024,KIA
0,2024,LAND ROVER
0,2024,LEXUS
0,2024,LINCOLN
0,2024,LUCID
0,2024,MAZDA
0,2024,MERCEDES-BENZ
0,2024,MERCEDES-MAYBACH
0,2024,MINI
0,2024,MITSUBISHI
0,2024,NISSAN
0,2024,POLESTAR
0,2024,PORSCHE
0,2024,RAM
0,2024,RIVIAN
